,OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
1381,2022-08-24 19:15:00,21364.05000000,21397.20000000,21336.55000000,21355.69000000,1414.07094000,2022-08-24 19:29:59.999,30208385.74092400,46247,721.52074000,15414051.25970860,0
1382,2022-08-24 19:30:00,21355.69000000,21359.48000000,21293.39000000,21329.38000000,1625.34092000,2022-08-24 19:44:59.999,34660916.20564790,54934,769.96981000,16419759.21017510,0
1383,2022-08-24 19:45:00,21330.04000000,21348.83000000,21298.67000000,21314.67000000,1281.18760000,2022-08-24 19:59:59.999,27319748.06344740,47432,646.55814000,13787323.45435390,0
1384,2022-08-24 20:00:00,21314.67000000,21343.00000000,21300.92000000,21340.12000000,1156.17491000,2022-08-24 20:14:59.999,24653112.15230980,40235,579.18629000,12350346.47081230,0
1385,2022-08-24 20:15:00,21339.15000000,21385.01000000,21319.44000000,21360.83000000,1457.65124000,2022-08-24 20:29:59.999,31116422.05208810,49755,763.05835000,16289928.67488300,0
1386,2022-08-24 20:30:00,21361.23000000,21377.73000000,21325.00000000,21333.08000000,1198.17491000,2022-08-24 20:44:59.999,25578771.92317220,44615,590.43383000,12604984.01707180,0
1387,2022-08-24 20:45:00,21331.91000000,21339.26000000,21261.00000000,21282.16000000,1867.76786000,2022-08-24 20:59:59.999,39766657.81180990,58787,859.20250000,18294126.49283050,0
1388,2022-08-24 21:00:00,21282.16000000,21355.69000000,21271.64000000,21347.98000000,1534.47632000,2022-08-24 21:14:59.999,32708755.47998080,52060,811.02645000,17288720.85887720,0
1389,2022-08-24 21:15:00,21347.98000000,21429.52000000,21338.05000000,21409.75000000,2020.10717000,2022-08-24 21:29:59.999,43200635.99522060,62503,1115.09518000,23846243.49834920,0
1390,2022-08-24 21:30:00,21410.75000000,21444.00000000,21391.22000000,21425.23000000,1582.73264000,2022-08-24 21:44:59.999,33896842.93585680,51290,816.10254000,17478826.67282480,0
1391,2022-08-24 21:45:00,21425.23000000,21476.23000000,21414.37000000,21438.92000000,1952.49167000,2022-08-24 21:59:59.999,41875973.13658780,62835,990.26417000,21238944.90128950,0
1392,2022-08-24 22:00:00,21439.84000000,21487.42000000,21431.22000000,21463.67000000,1938.12791000,2022-08-24 22:14:59.999,41589015.13050910,61388,956.58286000,20527139.49775860,0
1393,2022-08-24 22:15:00,21464.19000000,21510.00000000,21445.85000000,21470.28000000,2203.98386000,2022-08-24 22:29:59.999,47332206.42782880,61192,1180.64528000,25356971.52795930,0
1394,2022-08-24 22:30:00,21470.28000000,21507.71000000,21421.22000000,21431.63000000,2098.05727000,2022-08-24 22:44:59.999,45027432.16408910,62626,1025.07926000,22000638.98748130,0
1395,2022-08-24 22:45:00,21432.73000000,21512.00000000,21421.31000000,21486.75000000,2152.37284000,2022-08-24 22:59:59.999,46209697.84738710,61777,1120.25816000,24052053.46025680,0
1396,2022-08-24 23:00:00,21485.60000000,21508.53000000,21460.78000000,21465.41000000,1341.52828000,2022-08-24 23:14:59.999,28823541.24928270,48584,642.59270000,13807086.30774690,0
1397,2022-08-24 23:15:00,21466.61000000,21475.31000000,21430.00000000,21439.91000000,1478.24041000,2022-08-24 23:29:59.999,31714438.71489370,52149,656.70002000,14089567.49277040,0
1398,2022-08-24 23:30:00,21438.58000000,21485.01000000,21373.43000000,21470.84000000,3806.03367000,2022-08-24 23:44:59.999,81564670.53605750,105793,1799.52131000,38567112.08930830,0
1399,2022-08-24 23:45:00,21469.39000000,21484.37000000,21415.57000000,21439.86000000,2710.19641000,2022-08-24 23:59:59.999,58130530.73959830,75539,1281.93906000,27499141.65749800,0
1400,2022-08-25 00:00:00,21438.62000000,21479.47000000,21400.01000000,21453.78000000,2334.24421000,2022-08-25 00:14:59.999,50041838.19396330,78197,1154.61908000,24752977.89247330,0
1401,2022-08-25 00:15:00,21453.78000000,21558.00000000,21445.92000000,21527.59000000,3107.68940000,2022-08-25 00:29:59.999,66835449.50116660,82319,1621.64153000,34876582.45076690,0
1402,2022-08-25 00:30:00,21527.60000000,21553.40000000,21451.37000000,21468.84000000,2345.13590000,2022-08-25 00:44:59.999,50422928.29147180,70263,1113.15879000,23935140.94871350,0
1403,2022-08-25 00:45:00,21467.26000000,21490.00000000,21451.10000000,21467.61000000,1544.56659000,2022-08-25 00:59:59.999,33162442.37435320,56241,759.88662000,16315644.54890010,0
1404,2022-08-25 01:00:00,21467.61000000,21542.51000000,21452.82000000,21542.13000000,1974.38845000,2022-08-25 01:14:59.999,42437491.40495090,60541,1050.90583000,22588905.50058700,0
1405,2022-08-25 01:15:00,21540.83000000,21614.61000000,21524.00000000,21586.09000000,2965.42557000,2022-08-25 01:29:59.999,63955051.13220790,83379,1565.00960000,33754102.13371490,0
1406,2022-08-25 01:30:00,21585.76000000,21596.32000000,21547.20000000,21583.73000000,1804.12218000,2022-08-25 01:44:59.999,38912371.97477670,61927,911.80674000,19666774.33658460,0
1407,2022-08-25 01:45:00,21583.73000000,21645.65000000,21566.76000000,21618.45000000,2730.28504000,2022-08-25 01:59:59.999,58992078.79882790,77805,1421.41072000,30712242.64656040,0
1408,2022-08-25 02:00:00,21618.46000000,21900.00000000,21609.09000000,21810.36000000,6160.52153000,2022-08-25 02:14:59.999,134009088.38953340,142790,3240.66962000,70494618.48287110,0
1409,2022-08-25 02:15:00,21811.10000000,21824.64000000,21719.65000000,21747.55000000,3438.35922000,2022-08-25 02:29:59.999,74837534.09041880,92385,1718.75095000,37410704.50500590,0
1410,2022-08-25 02:30:00,21749.03000000,21785.00000000,21669.83000000,21689.99000000,2270.52298000,2022-08-25 02:44:59.999,49324372.46214160,67914,1064.75749000,23133004.98512130,0
1411,2022-08-25 02:45:00,21692.49000000,21740.02000000,21681.71000000,21717.89000000,1705.30091000,2022-08-25 02:59:59.999,37034281.23156390,53053,905.22865000,19659572.65606080,0
1412,2022-08-25 03:00:00,21719.06000000,21781.89000000,21705.00000000,21749.14000000,1606.31598000,2022-08-25 03:14:59.999,34919290.15449460,53406,838.94934000,18238292.59388880,0
1413,2022-08-25 03:15:00,21750.32000000,21769.58000000,21630.00000000,21644.45000000,2280.99899000,2022-08-25 03:29:59.999,49472243.18802580,65480,1035.24823000,22453066.55077850,0
1414,2022-08-25 03:30:00,21644.44000000,21677.73000000,21623.46000000,21646.92000000,1739.64155000,2022-08-25 03:44:59.999,37665123.21952730,51852,838.60212000,18156806.66910830,0
1415,2022-08-25 03:45:00,21646.92000000,21658.00000000,21605.00000000,21633.24000000,1545.17561000,2022-08-25 03:59:59.999,33429251.70991690,51137,715.48359000,15479132.52147360,0
1416,2022-08-25 04:00:00,21633.24000000,21686.85000000,21624.02000000,21669.40000000,1575.52717000,2022-08-25 04:14:59.999,34121690.95604420,47320,732.70726000,15868844.30437580,0
1417,2022-08-25 04:15:00,21669.40000000,21731.22000000,21665.73000000,21700.97000000,1344.46528000,2022-08-25 04:29:59.999,29175932.55913490,44732,724.00563000,15711784.56672480,0
1418,2022-08-25 04:30:00,21699.44000000,21707.73000000,21660.00000000,21697.69000000,1245.80047000,2022-08-25 04:44:59.999,27016237.86836340,40257,608.86067000,13204188.10468450,0
1419,2022-08-25 04:45:00,21698.53000000,21703.33000000,21658.55000000,21674.91000000,1017.55520000,2022-08-25 04:59:59.999,22057723.98301310,36564,517.99069000,11228632.91247270,0
1420,2022-08-25 05:00:00,21674.91000000,21759.88000000,21672.00000000,21751.88000000,1504.82920000,2022-08-25 05:14:59.999,32680038.40555050,52265,802.66360000,17431148.70460820,0
1421,2022-08-25 05:15:00,21751.88000000,21776.99000000,21726.33000000,21747.40000000,1486.05308000,2022-08-25 05:29:59.999,32320599.00304610,51014,807.08394000,17553798.61015120,0
1422,2022-08-25 05:30:00,21747.40000000,21809.00000000,21743.11000000,21778.71000000,1620.62547000,2022-08-25 05:44:59.999,35298607.01782310,52653,885.45858000,19286339.45010790,0
1423,2022-08-25 05:45:00,21777.62000000,21782.99000000,21700.45000000,21707.58000000,1566.34456000,2022-08-25 05:59:59.999,34057518.96452370,51429,747.65458000,16256689.37884720,0
1424,2022-08-25 06:00:00,21709.32000000,21737.47000000,21677.31000000,21711.66000000,1366.55595000,2022-08-25 06:14:59.999,29662713.43342770,43773,652.83944000,14170105.94666720,0
1425,2022-08-25 06:15:00,21711.66000000,21761.92000000,21694.99000000,21714.45000000,1294.14644000,2022-08-25 06:29:59.999,28121837.91563100,44000,615.50004000,13375607.71212320,0
1426,2022-08-25 06:30:00,21713.72000000,21730.00000000,21691.45000000,21707.85000000,851.19985000,2022-08-25 06:44:59.999,18479072.28332660,33709,421.70056000,9155078.69780430,0
1427,2022-08-25 06:45:00,21707.85000000,21727.98000000,21679.10000000,21691.93000000,867.31006000,2022-08-25 06:59:59.999,18824913.96096520,37948,424.11457000,9205824.01752820,0
1428,2022-08-25 07:00:00,21691.93000000,21702.49000000,21662.31000000,21674.92000000,808.78651000,2022-08-25 07:14:59.999,17533737.78702840,32353,387.20031000,8394499.44281110,0
1429,2022-08-25 07:15:00,21674.92000000,21720.00000000,21668.94000000,21710.48000000,617.88830000,2022-08-25 07:29:59.999,13406973.89412550,24636,296.57735000,6435368.50343260,0
1430,2022-08-25 07:30:00,21710.01000000,21710.66000000,21670.00000000,21691.42000000,464.75223000,2022-08-25 07:44:59.999,10081689.78364910,25893,215.98841000,4685235.56186840,0
1431,2022-08-25 07:45:00,21691.42000000,21695.00000000,21554.00000000,21592.07000000,1379.12672000,2022-08-25 07:59:59.999,29807563.66110150,42352,545.06817000,11782594.50303760,0
1432,2022-08-25 08:00:00,21590.77000000,21655.50000000,21535.03000000,21572.53000000,2344.73876000,2022-08-25 08:14:59.999,50601460.63730470,68490,1133.40332000,24460344.11807860,0
1433,2022-08-25 08:15:00,21570.79000000,21575.10000000,21460.00000000,21506.46000000,2612.51276000,2022-08-25 08:29:59.999,56200493.40257640,69535,1191.70603000,25636121.25181580,0
1434,2022-08-25 08:30:00,21506.46000000,21539.27000000,21450.00000000,21533.61000000,1905.60874000,2022-08-25 08:44:59.999,40964760.71293590,56688,948.81411000,20399351.20327000,0
1435,2022-08-25 08:45:00,21535.73000000,21539.45000000,21481.90000000,21493.73000000,1092.06961000,2022-08-25 08:59:59.999,23487860.99426020,36939,487.07761000,10475569.91171090,0
1436,2022-08-25 09:00:00,21492.91000000,21524.99000000,21477.69000000,21502.12000000,765.95631000,2022-08-25 09:14:59.999,16466651.47733210,34916,396.02992000,8514128.63731050,0
1437,2022-08-25 09:15:00,21502.12000000,21532.99000000,21453.96000000,21486.73000000,1010.01666000,2022-08-25 09:29:59.999,21713637.45320210,37781,475.89072000,10230958.81529120,0
